id,p_code,procurement,unit_price,pref_order_qty,unit_meas,mfg_lt,curr_stock
2231,GTY612940,M,591.77,296,EA,12 days,2278
2232,FIM419192,B,408.0,217,M,,3020
2233,HGK553612,M,36.05,369,EA,17 days,624
2234,VXT573451,B,259.01,356,FT,,4079
2235,ZWI389208,M,671.35,493,FT,5 days,3283
2236,RMZ341536,M,770.21,393,FT,4 days,4359
2237,QDK557361,B,275.42,11,EA,,4844
2238,OUF226109,M,317.61,493,EA,28 days,3386
2239,YMQ625686,M,137.63,442,M,16 days,7081
2240,PKM394703,M,923.3,100,LBS,30 days,8654
2241,IZS298846,M,366.66,124,FT,14 days,2550
2242,ZOA149558,B,952.81,480,KG,,3933
2243,HCQ512768,B,529.83,126,FT,,7251
2244,ZXH823465,M,920.68,128,M,25 days,777
2245,WFM286810,B,737.2,132,M,,588
2246,LOC715304,M,835.57,392,KG,9 days,8297
2247,ARX211961,B,447.01,187,M,,4504
2248,SUR056758,B,210.3,309,KG,,1972
2249,QCN397082,B,638.44,237,M,,2473
2250,HFZ285543,B,997.58,45,FT,,8219
2251,OVK445743,M,440.9,118,LBS,4 days,6078
2252,YMR053311,B,357.91,458,KG,,9504
2253,TGN249516,M,946.12,220,KG,29 days,3038
2254,THA144010,M,133.07,351,LBS,21 days,9385
2255,LBZ683402,M,574.51,406,EA,18 days,9100
2256,HCE591699,M,358.71,474,EA,3 days,2293
2257,OQK895654,M,714.27,310,M,28 days,12
2258,LMB630201,B,958.9,179,EA,,7700
2259,GSA970978,B,23.33,417,M,,840
2260,OJM593018,B,741.54,254,LBS,,3023
2261,SHZ493779,B,10.86,225,M,,6010
2262,GYX144705,B,713.03,349,LBS,,9024
2263,CRH498761,B,951.8,336,FT,,2794
2264,XRS425656,M,138.18,449,M,15 days,9916
2265,LYX495315,M,873.09,222,M,9 days,7445
2266,PEV071099,M,726.3,221,FT,6 days,2956
2267,UVV266220,B,185.25,418,EA,,2045
2268,PRC323941,B,247.21,309,LBS,,5937
2269,GVW471781,M,915.57,15,FT,15 days,5006
2270,OIR232306,M,320.15,82,FT,24 days,7484
2271,JRK487526,M,271.01,397,LBS,19 days,6734
2272,UWU125511,M,39.78,269,KG,16 days,7509
2273,WQW822801,B,907.31,116,EA,,5864
2274,NUD377428,M,57.66,7,KG,21 days,42
2275,PJO075207,M,426.9,272,EA,3 days,6763
2276,ZLQ407103,B,141.94,132,LBS,,7765
2277,GQH956520,B,229.24,63,KG,,2499
2278,SYV978902,M,1.03,14,KG,9 days,6973
2279,OKH154750,M,810.48,10,KG,22 days,316
2280,NTQ751739,M,740.16,281,EA,27 days,3068
2281,QGE608258,B,465.37,304,M,,2343
2282,XCY521211,M,705.85,353,FT,10 days,715
2283,JEY981226,M,853.76,187,M,7 days,8024
2284,RVH609475,B,218.36,302,KG,,8172
2285,JXC598489,B,963.49,472,EA,,253
2286,MHS080121,B,354.3,77,KG,,3432
2287,HVM017034,B,970.62,422,EA,,5835
2288,RTR886776,B,770.21,56,M,,8476
2289,DZO038837,M,475.45,164,EA,6 days,2310
2290,CFX126145,M,241.96,36,KG,20 days,5897
2291,RRP837355,B,650.42,360,FT,,7081
2292,ASC013981,B,602.45,154,FT,,2204
2293,SSB405728,B,999.55,399,KG,,4792
2294,XMX173530,B,18.27,352,EA,,28
2295,YVE762632,M,996.11,420,FT,1 days,4120
2296,QHQ292248,B,278.18,430,M,,162
2297,HAW827412,M,824.11,28,EA,11 days,7110
2298,GPS500820,M,743.76,292,FT,11 days,6235
2299,WEH087946,M,121.46,224,FT,25 days,649
2300,GWU404618,B,528.84,178,EA,,4454
2301,TFA200591,M,503.47,173,FT,13 days,5620
2302,UEM144020,B,117.47,299,FT,,5806
2303,MCG980080,M,71.9,433,EA,6 days,1757
2304,UQK602803,M,782.97,365,M,8 days,1492
2305,VCH735541,M,762.51,259,M,12 days,1681
2306,BFW957402,M,696.22,16,FT,10 days,2619
2307,CJQ945167,B,847.47,100,KG,,4084
2308,WOB227676,M,228.49,233,KG,4 days,9984
2309,LWG470515,B,416.12,32,FT,,6173
2310,LRG321979,M,983.04,446,EA,30 days,5111
2311,SLO043832,M,755.02,481,KG,29 days,7115
2312,XYX981169,M,903.76,222,M,21 days,7280
2313,DNF397123,M,354.66,325,FT,19 days,6550
2314,UJY475320,M,151.61,128,M,12 days,9930
2315,MWL177748,B,788.47,320,M,,650
2316,SKS898412,M,626.35,381,KG,12 days,2775
2317,UEI651891,M,670.52,29,EA,5 days,982
2318,QLG490411,M,746.25,465,M,27 days,1892
2319,ZDF227582,M,303.97,198,LBS,12 days,4171
2320,PYV925343,M,929.55,186,LBS,21 days,2760
2321,ZBU237741,B,474.92,100,M,,3197
2322,XDY030388,M,568.0,85,EA,28 days,5188
2323,GOJ913281,B,483.36,169,KG,,5320
2324,HYI260896,M,423.41,382,EA,14 days,9148
2325,QUW710478,B,67.25,8,EA,,4494
2326,IOK593564,M,143.36,405,LBS,27 days,1791
2327,WNQ032897,M,797.81,193,M,15 days,755
2328,BWY332325,B,804.34,103,LBS,,2720
2329,PQJ506310,B,617.46,480,EA,,5434
2330,GPR605808,M,767.25,352,EA,21 days,366
2331,RAQ142969,M,919.47,167,FT,16 days,2284
2332,IUZ147052,M,557.51,357,KG,3 days,4215
2333,WDR062613,M,16.81,170,KG,29 days,1006
2334,ILD254954,M,139.08,320,EA,14 days,6246
2335,SIA804688,M,170.88,201,FT,20 days,3948
2336,DKK456549,B,923.88,15,LBS,,7832
2337,HNJ419492,B,546.05,89,FT,,2624
2338,ERS525691,B,538.05,16,EA,,8743
2339,DMB446353,B,59.75,456,FT,,8205
2340,GNR856713,M,790.56,86,LBS,16 days,3475
2341,MCN651987,M,256.06,298,LBS,18 days,2505
2342,MRU568040,B,261.08,103,M,,7912
2343,WHN825656,B,261.16,447,EA,,721
2344,OBE944977,B,377.77,461,LBS,,316
2345,GDM856486,M,781.21,159,FT,27 days,4970
2346,LEM359697,M,804.69,302,KG,14 days,1969
2347,IEJ532370,M,895.89,254,M,13 days,6996
2348,HBO480813,M,605.42,316,M,20 days,3405
2349,IDL951263,B,920.09,200,EA,,5335
2350,ESO555517,M,394.65,126,M,12 days,6811
2351,CZB632843,B,215.2,130,KG,,8817
2352,RTG984619,M,32.16,159,EA,4 days,2580
2353,MFE509644,B,531.0,437,KG,,1497
2354,AIF603661,B,164.97,215,FT,,3447
2355,CZS122326,B,348.65,8,LBS,,7059
2356,LPD585784,M,68.78,344,LBS,1 days,7748
2357,AYG845590,B,424.91,46,M,,3044
2358,YWN589986,B,987.73,288,FT,,5478
2359,GGS264765,M,197.34,410,FT,8 days,1199
2360,UFK839096,M,181.29,197,EA,5 days,7638
2361,BWL733869,M,52.29,352,M,15 days,4845
2362,DZB242040,M,523.48,451,FT,11 days,6898
2363,MHS857404,B,992.69,199,KG,,4273
2364,WFT825869,M,195.55,361,FT,10 days,674
2365,TOL361506,B,729.02,223,M,,8384
2366,HTC857357,M,137.67,31,FT,13 days,8725
2367,XDY228678,M,352.55,494,M,8 days,5068
2368,KLR862845,M,179.54,128,LBS,15 days,2675
2369,OVX115819,M,139.19,77,FT,11 days,8151
2370,XIM229180,M,717.56,215,EA,15 days,7992
2371,AIQ984564,M,301.26,133,KG,21 days,2381
2372,YAD036664,M,699.2,25,LBS,25 days,2484
2373,WZQ508586,M,528.32,247,FT,25 days,4831
2374,RSP537898,B,916.71,137,EA,,3260
2375,VQI363992,B,100.56,21,EA,,3667
2376,KYZ835845,B,202.9,321,KG,,1402
2377,WYY728531,B,859.18,177,EA,,1771
2378,GCD408753,B,282.22,238,EA,,0
2379,DSU730723,B,654.85,319,KG,,4370
2380,OIC787591,M,7.6,146,M,30 days,9450
2381,XFO572952,B,327.76,137,EA,,8183
2382,UUI585563,B,605.16,450,LBS,,7476
2383,TPB141012,B,431.57,454,FT,,4770
2384,YLZ844169,M,451.54,291,KG,20 days,9921
2385,BPS848867,M,962.89,71,M,30 days,5647
2386,MHI569757,B,898.65,58,FT,,2068
2387,FKR904753,M,403.43,478,KG,8 days,3186
2388,EIZ726142,B,172.38,223,EA,,8792
2389,OMJ839261,M,245.33,453,LBS,20 days,5940
2390,AMI405180,M,809.03,73,LBS,16 days,6612
2391,FCX927421,B,540.94,217,LBS,,1816
2392,JIR488260,B,926.39,370,FT,,3325
2393,ORE021645,B,871.55,493,EA,,5395
2394,CFR600734,M,500.42,74,EA,11 days,6573
2395,HLN417617,M,136.1,469,M,10 days,9145
2396,QOU864250,M,658.9,233,EA,26 days,2719
2397,WCZ347437,M,714.05,228,EA,17 days,7326
2398,SSU515605,M,295.37,229,M,4 days,3071
2399,DMM066673,B,418.0,22,FT,,983
2400,PLR149506,M,763.99,26,LBS,14 days,1243
2401,UMI849191,B,19.43,133,FT,,871
2402,FBM432998,M,629.13,36,M,17 days,6618
2403,KJD124305,B,341.57,118,KG,,8151
2404,XTD202347,B,294.83,436,M,,5673
2405,OSN041084,M,192.2,409,M,6 days,2901
2406,MUX097535,M,256.63,259,KG,5 days,373
2407,UGA935446,B,90.83,293,KG,,5306
2408,CYG413309,B,523.96,308,EA,,6957
2409,SON722769,B,910.53,450,EA,,9067
2410,VMH621340,M,98.59,255,LBS,13 days,5823
2411,FES803490,M,740.46,38,FT,24 days,6940
2412,XDM470111,B,702.54,407,KG,,3575
2413,FYI151264,B,664.19,174,EA,,7414
2414,CWB567908,M,501.44,58,FT,14 days,9876
2415,WSU134167,B,815.21,189,EA,,2533
2416,YGN336919,M,12.52,487,LBS,13 days,8162
2417,FEA057797,B,85.18,261,M,,6464
2418,TES889269,M,795.49,54,KG,13 days,6597
2419,OZB122261,B,452.74,470,LBS,,2826
2420,BRG390256,B,102.72,332,LBS,,1572
2421,EEP046694,B,918.46,123,M,,9252
2422,NQN692803,B,295.86,481,FT,,5594
2423,MLI154675,B,884.95,374,EA,,5952
2424,LSI960754,M,128.65,54,LBS,23 days,1838
2425,XHS250878,M,941.87,429,KG,22 days,705
2426,BQA177477,B,209.72,103,KG,,6901
2427,TGJ975407,B,320.81,56,EA,,6224
2428,FKG091858,B,304.09,453,KG,,2753
2429,ERW218396,M,875.01,208,LBS,12 days,6020
2430,LWD615661,B,200.27,321,EA,,7185
2431,UHY445770,M,653.29,241,M,4 days,5119
2432,BHE985200,M,640.37,121,M,12 days,8647
2433,EXB235533,B,949.64,332,KG,,1946
2434,RLA464762,M,927.56,484,LBS,19 days,306
2435,DQA324207,M,660.37,190,LBS,16 days,8748
2436,GUK048521,B,19.05,296,FT,,2787
2437,QAN187732,M,720.98,373,M,25 days,7402
2438,YOT095830,B,629.16,36,EA,,1279
2439,SZC789968,B,212.5,296,FT,,3562
2440,JAK240073,B,675.34,15,FT,,48
2441,ZWB295540,M,939.42,65,EA,5 days,5297
2442,KFG304852,M,250.1,315,KG,30 days,2649
2443,XDN682178,M,348.43,126,M,6 days,3903
2444,YTM422361,B,818.34,44,EA,,8167
2445,CRP772764,M,569.35,26,LBS,13 days,6594
2446,MDG960130,M,377.0,124,KG,18 days,7854
2447,DUO569083,B,586.61,340,FT,,8630
2448,BGS482494,M,50.78,171,KG,20 days,7878
2449,XMG011526,M,783.5,133,KG,18 days,8476
2450,JPM052465,M,672.35,413,M,13 days,8869
2451,CII983260,M,231.61,297,M,25 days,4856
2452,DMF063304,M,843.81,192,M,3 days,2696
2453,LMT789165,M,514.28,113,LBS,9 days,4630
2454,MZX251863,M,399.39,142,M,26 days,9221
2455,UVJ539134,B,570.61,66,FT,,2220
2456,IHY095138,M,990.0,279,KG,26 days,1202
2457,UYC899426,B,864.21,80,M,,6710
2458,OMV307348,B,51.48,432,FT,,8649
2459,YLB234660,B,401.13,278,FT,,9922
2460,BKP355156,M,123.37,464,M,29 days,2170
2461,NGL144121,M,430.58,316,KG,7 days,5292
2462,CXL085461,M,529.71,115,FT,5 days,2722
2463,EZL178024,M,944.55,323,LBS,25 days,5264
2464,NHL608519,B,207.96,3,M,,6121
2465,LYL507394,M,808.09,58,LBS,21 days,183
2466,RFP114856,M,322.02,263,LBS,17 days,7656
2467,TDP878100,M,714.4,122,M,21 days,9238
2468,EJV350346,M,378.98,331,LBS,19 days,4025
2469,ZEK032494,B,974.03,468,M,,2230
2470,AIW730750,B,409.45,483,EA,,6648
2471,CPH855214,M,735.44,161,M,15 days,886
2472,ACH780134,B,267.63,61,FT,,4377
2473,TTG155413,B,54.5,271,EA,,2532
2474,NGK570785,M,834.78,52,EA,2 days,7337
2475,TCU203164,B,502.02,470,LBS,,7197
2476,TFW794368,B,628.5,65,M,,2771
2477,LXS580863,B,533.34,109,LBS,,8286
2478,ZAL415403,B,807.03,433,FT,,7211
2479,OIR387811,B,180.04,107,KG,,7020
2480,LDX370068,B,234.85,352,LBS,,102
2481,DBV652544,M,115.37,393,EA,18 days,9078
2482,WCR657712,M,18.01,154,KG,23 days,9040
2483,DZQ925135,M,727.49,291,KG,15 days,6674
2484,ASG102659,M,618.69,209,EA,24 days,9294
2485,MNB230123,B,789.31,275,M,,3068
2486,DCR649491,M,259.52,306,EA,30 days,383
2487,OVS304564,M,494.48,299,EA,22 days,4432
2488,TAB658469,B,77.38,453,LBS,,6712
2489,JAE071861,B,968.15,25,FT,,6568
2490,CVW576250,M,290.09,461,M,2 days,8351
2491,HMD561819,M,364.77,287,FT,14 days,299
2492,OSQ763592,M,610.23,332,LBS,6 days,6133
2493,HND693919,M,221.71,261,EA,17 days,3941
2494,RDW654496,B,853.58,461,M,,6768
2495,RKR422874,B,178.42,348,KG,,1868
2496,EWX684395,M,182.33,166,EA,30 days,2698
2497,YOG417085,M,908.12,404,KG,14 days,4319
2498,TEH583595,M,653.91,175,EA,10 days,6601
2499,UWX822609,M,35.89,68,EA,6 days,5314
2500,PRZ760025,M,540.01,207,KG,28 days,8508
2501,REP539392,B,380.93,401,KG,,1038
2502,GJI748676,M,96.7,412,KG,9 days,7889
2503,GHY017990,B,610.35,200,EA,,503
2504,NXF693767,M,189.27,369,EA,28 days,5479
2505,TCE097050,B,332.73,452,M,,3826
2506,BWF973483,M,941.42,411,EA,10 days,5372
2507,ASR593173,M,363.89,176,M,6 days,5102
2508,FOJ806047,B,796.25,337,EA,,2485
2509,ZME564862,M,201.46,446,FT,20 days,7351
2510,VFX427602,M,141.96,314,M,23 days,9330
2511,GTB669995,M,7.17,344,LBS,5 days,9373
2512,ZLR357504,B,3.62,93,LBS,,9988
2513,ZKN962001,M,900.58,187,EA,9 days,2112
2514,FKX214559,B,644.34,158,M,,797
2515,HQO850029,B,390.12,7,M,,2402
2516,FWR070224,B,373.15,322,LBS,,5671
2517,ONE633788,B,133.19,20,M,,5935
2518,IPU007620,B,381.11,355,KG,,9290
2519,UHI291216,B,244.83,407,EA,,1459
2520,XSC329564,B,262.64,363,KG,,8749
2521,JID591227,B,976.97,211,M,,8736
2522,VHR323498,B,956.54,287,LBS,,5383
2523,SRG897980,M,617.36,369,KG,27 days,8804
2524,IMI126355,B,539.48,442,KG,,9403
2525,ONI114838,B,110.26,259,KG,,8815
2526,NQJ804954,M,295.38,252,M,12 days,2926
2527,EZQ209649,B,837.77,484,FT,,9969
2528,WTB814829,B,383.58,280,LBS,,9107
2529,DIY013202,B,728.49,345,KG,,8773
2530,GJJ379045,M,693.21,209,LBS,7 days,1278
2531,SJR782054,B,625.24,14,M,,248
2532,ARB745440,B,289.37,419,LBS,,3304
2533,EMJ031037,B,885.52,291,LBS,,866
2534,ZFJ427589,B,196.26,240,M,,6664
2535,VRZ354562,B,657.39,134,KG,,6041
2536,CDP572777,B,436.84,54,LBS,,8598
2537,FVG175689,B,583.11,30,M,,267
2538,KPS203364,M,216.77,373,EA,21 days,9222
2539,RXW046689,B,961.75,396,FT,,2394
2540,WZP053045,M,389.13,27,LBS,7 days,3199
2541,CAP903888,M,994.97,138,LBS,2 days,6488
2542,TOG224348,B,91.16,488,LBS,,497
2543,CSV097080,B,702.48,179,M,,2084
2544,SLD795708,B,547.7,66,FT,,2415
2545,VAA627492,B,20.31,74,KG,,377
2546,KZW711031,M,972.14,200,FT,25 days,3292
2547,NQC354416,M,137.0,470,M,1 days,686
2548,IGM742515,M,100.71,33,M,23 days,1019
2549,HZW990190,M,400.84,128,FT,1 days,3368
2550,LLZ844693,M,48.82,124,KG,5 days,9927
2551,WXG444683,B,601.38,160,EA,,9077
2552,KGY274787,M,359.21,137,M,22 days,5353
2553,WGB896105,B,685.9,272,LBS,,2635
2554,MBM315287,B,392.43,128,EA,,219
2555,KQM896582,M,816.22,230,FT,15 days,8445
2556,XLT040014,B,84.98,20,EA,,3274
2557,ZAN723042,M,685.97,277,KG,9 days,89
2558,KJX678384,M,480.85,432,EA,8 days,4779
2559,CUB988129,B,487.57,19,FT,,8664
2560,YBO109979,B,32.7,440,FT,,4720
2561,SZX893527,B,274.72,97,EA,,554
2562,PTL284052,B,509.05,98,M,,2384
2563,LOV365101,B,836.56,342,LBS,,4883
2564,XIH565613,B,477.79,159,M,,4961
2565,UXX352752,B,254.38,8,KG,,9616
2566,MZH793720,M,701.47,85,EA,21 days,2798
2567,NCY093239,M,134.89,65,KG,16 days,3832
2568,XLI624345,M,80.1,39,KG,15 days,9523
2569,BNO966560,B,709.01,121,EA,,1006
2570,TVR123741,M,564.84,190,KG,12 days,5442
2571,KPD825201,M,361.42,109,LBS,29 days,4839
2572,TQY892112,M,836.26,402,M,19 days,3051
2573,FKC831398,M,44.13,134,M,14 days,3923
2574,WFO311838,B,653.71,428,EA,,1816
2575,ZGX877157,B,536.2,212,KG,,2061
2576,BJX703015,B,224.58,343,LBS,,1407
2577,GCO409668,B,506.38,429,EA,,1346
2578,OIJ996762,B,184.63,191,FT,,9005
2579,TUU610256,B,705.26,256,M,,5181
2580,EEC591829,B,632.1,326,M,,603
2581,EST354386,B,314.89,132,EA,,5208
2582,EFI942577,B,915.88,175,FT,,4383
2583,PAP586620,M,307.72,34,LBS,20 days,3468
2584,TTT840552,M,919.84,144,EA,12 days,5607
2585,PSP193092,B,258.78,253,M,,1398
2586,CWR066189,B,371.02,320,FT,,3213
2587,XLB092340,M,962.01,464,FT,1 days,3830
2588,FZL984189,M,871.19,115,M,10 days,3955
2589,JDD425213,M,398.32,475,KG,5 days,7292
2590,FZN485439,B,617.67,442,M,,1019
2591,XCB831865,B,436.35,60,EA,,8442
2592,DLX770585,M,961.99,312,KG,13 days,6653
2593,GCJ851124,M,735.02,434,KG,27 days,5630
2594,IPL857551,M,366.44,360,LBS,5 days,6417
2595,XWU673686,B,265.39,263,M,,4308
2596,HUK047173,M,90.32,383,LBS,26 days,5773
2597,NMY417492,B,220.51,33,EA,,1957
2598,HUC708182,B,754.47,348,EA,,8887
2599,HQQ368707,B,454.61,408,M,,3525
2600,DXC480863,B,782.22,290,LBS,,7655
2601,THO250196,B,185.38,6,EA,,3493
2602,GOL915674,B,586.67,375,EA,,8943
2603,FBA886758,M,940.96,159,LBS,28 days,884
2604,DIC836251,B,417.64,78,EA,,5267
2605,PAS393362,B,636.97,154,EA,,8919
2606,CDN049896,B,822.14,21,LBS,,7590
2607,LOP457200,B,750.04,417,FT,,1169
2608,PLX033387,M,67.67,79,M,30 days,597
2609,UZK883098,B,863.78,308,M,,1355
2610,NOU255411,M,136.26,295,FT,7 days,4754
2611,CXW848529,M,665.25,152,EA,11 days,1600
2612,WQO164452,M,2.38,363,M,8 days,7207
2613,MUO098452,M,848.25,327,KG,12 days,6205
2614,THS594854,B,209.85,186,KG,,35
2615,JBX876238,B,382.46,35,KG,,4693
2616,KWR844740,B,923.06,184,FT,,2645
2617,QAI635507,M,638.61,375,LBS,20 days,8852
2618,DNM111423,M,902.02,2,EA,30 days,7671
2619,HVT486945,M,722.69,453,EA,12 days,2464
2620,ANM957142,M,464.5,238,LBS,5 days,1355
2621,FOP078982,B,266.22,99,M,,8262
2622,KVU145771,B,144.99,268,KG,,470
2623,RGR169169,M,330.83,408,M,2 days,4733
2624,KVE936254,M,642.28,326,EA,20 days,5048
2625,SHX222356,M,796.99,425,LBS,23 days,6452
2626,AYA502933,B,100.87,406,FT,,2862
2627,SRG472568,B,295.19,176,FT,,5380
2628,GOA051336,M,252.53,171,LBS,1 days,6718
2629,JRS903256,B,603.92,426,EA,,7981
2630,RRF860221,B,371.23,301,M,,1672
2631,IEC614151,B,843.63,372,FT,,4317
2632,TCL265758,B,939.94,42,EA,,2610
2633,FCM426753,M,551.47,235,EA,16 days,2410
2634,JNH005315,M,873.53,62,M,15 days,8342
2635,TZU410292,M,436.88,73,EA,14 days,3887
2636,JKK260671,B,830.63,252,KG,,1361
2637,NIS348266,B,666.4,487,EA,,3754
2638,UNO131261,B,973.89,312,FT,,3264
2639,WNJ265881,M,797.79,54,M,6 days,9197
2640,UUJ225980,M,100.43,326,M,24 days,3409
2641,JWM515287,M,390.45,174,EA,12 days,5712
2642,NYE731797,B,234.86,220,FT,,1211
2643,HHT474613,M,20.0,235,LBS,26 days,9719
2644,PFE020484,M,515.06,402,FT,9 days,5640
2645,AHV290837,M,988.13,32,EA,26 days,9067
2646,JUU096652,B,595.39,473,EA,,736
2647,UWZ342619,B,859.06,34,EA,,4568
2648,CEY899139,B,248.72,254,LBS,,2127
2649,KTS865213,M,362.02,243,LBS,8 days,5553
2650,XPQ215579,M,323.38,418,LBS,14 days,359
2651,UUZ048991,B,379.25,173,M,,1458
2652,MCV648409,M,124.54,310,KG,3 days,2379
2653,EME126359,B,647.94,182,LBS,,9278
2654,KTA294526,B,517.54,369,EA,,8156
2655,XYY580890,B,161.37,364,EA,,8630
2656,XLK312110,B,454.8,67,FT,,2247
2657,DUN351978,B,922.06,303,EA,,9846
2658,TJO921698,M,565.21,19,KG,28 days,7882
2659,YKY951887,M,653.02,244,FT,14 days,2844
2660,YPO648332,B,519.25,459,EA,,6733
2661,PRM936605,B,971.82,57,M,,4696
2662,XYL187121,M,27.71,22,KG,29 days,1553
2663,TNZ444730,B,422.47,355,KG,,8724
2664,HXQ688706,M,766.75,44,M,22 days,1187
2665,PXJ835046,B,397.68,96,LBS,,6387
2666,DCC731225,B,570.08,253,M,,7917
2667,ZHF464017,M,917.34,477,EA,13 days,3739
2668,GOK581701,B,419.77,301,KG,,7969
2669,QVS266847,B,916.13,367,M,,5328
2670,SSK866704,M,4.64,160,M,8 days,4499
2671,YMU127293,B,580.4,270,M,,4226
2672,YWZ954087,M,991.74,487,KG,27 days,7201
2673,YWF614686,B,176.62,17,KG,,8993
2674,KLU587176,M,765.66,230,M,19 days,9823
2675,DWJ802680,B,868.46,393,EA,,6858
2676,AFM074119,B,835.64,165,M,,5563
2677,WMC999402,M,937.29,19,EA,19 days,2044
2678,GQF521899,B,91.61,17,EA,,2111
2679,LRN449207,B,707.37,246,FT,,5075
2680,DKX240185,B,762.47,389,FT,,8892
2681,NVB099600,M,30.63,116,KG,8 days,9776
2682,LDY702064,B,532.41,423,FT,,2296
2683,JSQ978155,M,269.69,182,M,7 days,5251
2684,LWT245914,B,196.69,487,M,,4351
2685,FPZ706798,M,122.86,119,FT,2 days,9750
2686,TGY525424,B,991.1,289,EA,,9907
2687,UGE354552,M,157.37,28,M,21 days,2091
2688,NFD144126,B,563.96,185,EA,,4458
2689,VWM851065,M,230.88,258,FT,11 days,4667
2690,NPU434301,M,463.91,101,FT,29 days,3657
2691,UXX388472,M,557.12,119,FT,3 days,7365
2692,NJM980149,M,524.59,158,EA,22 days,5061
2693,AAN532725,M,162.07,179,LBS,2 days,9788
2694,DUA180297,M,489.63,228,M,13 days,806
2695,ZJO930332,M,432.39,342,LBS,10 days,7670
2696,VZP820881,B,953.51,81,EA,,1167
2697,YNX063270,B,499.91,197,KG,,1124
2698,ZHA870540,B,319.54,75,LBS,,765
2699,IFB053831,B,594.72,142,M,,9496
2700,AAB817467,B,17.49,473,FT,,5757
2701,VND393079,M,294.08,67,FT,6 days,5489
2702,OBE629849,M,911.99,350,FT,8 days,5131
2703,GXO550074,M,132.19,16,FT,20 days,1103
2704,VOG677169,M,37.77,428,M,2 days,8612
2705,KLJ295799,M,953.22,26,M,9 days,8425
2706,BRN900601,M,749.9,399,FT,1 days,3614
2707,WIY027603,B,270.67,97,M,,9602
2708,CRM494316,B,62.0,247,LBS,,17
2709,CIJ064736,M,356.22,265,M,4 days,882
2710,CXM714171,M,421.19,304,LBS,22 days,5555
2711,HBF624855,B,299.93,352,EA,,6194
2712,MNY453481,M,818.34,213,EA,13 days,7113
2713,QOX739180,B,608.34,349,M,,6208
2714,YRT627134,M,44.05,94,KG,27 days,6466
2715,KJX113352,M,146.38,98,FT,27 days,8851
2716,LDD120778,M,844.65,354,KG,20 days,6794
2717,YFA717492,M,700.87,424,LBS,10 days,7464
2718,LCM826268,B,250.73,121,EA,,6651
2719,GXC423622,M,717.79,472,EA,19 days,1590
2720,IER131798,M,743.77,295,M,27 days,7446
2721,LMR411247,M,148.17,285,LBS,22 days,9498
2722,ULG519195,B,635.27,66,LBS,,9737
2723,ZRN875316,B,80.83,397,EA,,3287
2724,YUQ386074,B,403.06,182,LBS,,1596
2725,VSD643672,B,915.16,409,FT,,9556
2726,PYC881574,B,533.23,13,KG,,4548
2727,DUT106750,M,385.7,436,KG,7 days,9308
2728,KMJ652351,B,559.09,54,FT,,4646
2729,EJF964305,B,753.71,36,LBS,,8646
2730,SAF130623,M,911.97,412,FT,7 days,7097
2731,YQA391314,B,924.78,246,M,,9152
2732,UNC039421,B,319.02,78,EA,,1817
2733,OBX648909,M,427.36,500,KG,26 days,3555
2734,GGA465146,M,158.65,119,EA,13 days,9631
2735,COG992244,B,458.1,279,EA,,2467
2736,NJH451490,B,382.68,380,EA,,4835
2737,ZOJ386973,M,393.34,404,FT,2 days,7404
2738,SSU701549,B,963.95,54,M,,6135
2739,AYV409465,B,871.96,298,FT,,7201
2740,WJM103250,M,383.77,307,EA,14 days,9298
2741,PRU522856,B,138.14,416,EA,,4639
2742,RXQ185611,B,89.63,241,FT,,5594
2743,VFS040200,M,498.1,230,LBS,3 days,6378
2744,ERN258815,M,132.4,457,LBS,6 days,933
2745,FVO068298,M,951.38,322,FT,26 days,7400
2746,YMK648574,B,58.45,425,LBS,,4310
2747,TIL590985,B,252.9,168,KG,,4571
2748,UIV939188,M,943.5,131,LBS,5 days,4246
2749,AHF118963,M,306.84,128,EA,28 days,3690
2750,SUN276407,B,527.75,46,KG,,1790
2751,DRF317090,M,777.85,36,FT,17 days,4175
2752,HKX908631,M,133.86,129,M,30 days,1056
2753,BOZ601308,B,277.65,308,FT,,4852
2754,ZWE307942,B,146.1,403,EA,,4419
2755,DPQ360655,B,432.17,222,FT,,9191
2756,MUQ785293,B,392.76,175,FT,,8924
2757,UVC018021,M,697.76,496,M,4 days,5059
2758,GWO177401,M,45.51,371,KG,28 days,3232
2759,EJP081598,M,278.41,230,EA,30 days,6707
2760,IIA262402,M,640.78,96,LBS,25 days,6165
2761,RAS974742,M,903.99,216,FT,5 days,7373
2762,XZX971195,M,450.48,380,EA,6 days,8568
2763,GOL583814,B,692.52,450,KG,,5357
2764,NYR906248,M,184.89,354,LBS,24 days,2160
2765,XIP072220,M,109.5,371,EA,27 days,1669
2766,ARO736133,M,436.43,113,FT,14 days,2320
2767,ZBG364957,M,600.64,38,FT,22 days,5891
2768,APO860517,M,919.54,303,KG,7 days,388
2769,SRX367651,B,831.06,491,KG,,5086
2770,TTD780536,B,394.0,45,M,,235
2771,YGQ692797,M,630.77,190,EA,26 days,3112
2772,PYD567161,B,238.91,96,LBS,,9845
2773,SCD789612,B,799.44,399,KG,,750
2774,YKJ712566,B,332.38,426,EA,,7901
2775,LHK130200,M,785.72,153,FT,21 days,8252
2776,PEN452890,M,637.54,463,FT,12 days,6926
2777,ZYT952060,B,199.77,298,KG,,5243
